error_type,metric,target,n,pearson,spearman
color_bleeding,huber_ab,severity_ab,616,0.95668333217496,0.9806209247131098
color_bleeding,huber_ab,severity_level,616,0.5391166917518776,0.7186813783436277
color_bleeding,gradient_ab,severity_ab,616,0.9528180791711572,0.9675392955070389
color_bleeding,gradient_ab,severity_level,616,0.6560308161450267,0.741911796919655
color_bleeding,lpips_vgg,severity_ab,616,0.8658441085827854,0.8971361010417027
color_bleeding,lpips_vgg,severity_level,616,0.7541556728937191,0.8697730006040176
color_bleeding,convnext_perceptual,severity_ab,616,0.3025124901545598,0.5276244449703754
color_bleeding,convnext_perceptual,severity_level,616,0.44772643996547545,0.6698770859608806
color_bleeding,dinov3_perceptual,severity_ab,616,0.7746078606623058,0.8294109614147565
color_bleeding,dinov3_perceptual,severity_level,616,0.7634712290742172,0.8760603195156313
color_bleeding,gradient_norm_huber_ab,severity_ab,616,0.955032145182975,0.9900223783016211
color_bleeding,gradient_norm_huber_ab,severity_level,616,0.6854670370239945,0.7034774980664527
color_bleeding,gradient_norm_gradient_ab,severity_ab,616,-0.2219778718543627,-0.2590320118566505
color_bleeding,gradient_norm_gradient_ab,severity_level,616,2.2221584226995388e-05,-0.0007634601927477332
color_bleeding,gradient_norm_lpips_vgg,severity_ab,616,0.12517005456487748,0.4831536412356273
color_bleeding,gradient_norm_lpips_vgg,severity_level,616,0.2639613647147257,0.6464833604001361
color_bleeding,gradient_norm_convnext_perceptual,severity_ab,616,-0.041671309327936355,0.14736001240329819
color_bleeding,gradient_norm_convnext_perceptual,severity_level,616,0.11579265675933437,0.337384065076581
color_bleeding,gradient_norm_dinov3_perceptual,severity_ab,616,0.1349393532641719,0.4240045403463992
color_bleeding,gradient_norm_dinov3_perceptual,severity_level,616,0.24857361944980058,0.5545496933535661
color_bleeding,gradient_rms_huber_ab,severity_ab,616,0.9550321461820386,0.9900223783016211
color_bleeding,gradient_rms_huber_ab,severity_level,616,0.6854670392482567,0.7034774980664527
color_bleeding,gradient_rms_gradient_ab,severity_ab,616,-0.22197788497815973,-0.2590320118566505
color_bleeding,gradient_rms_gradient_ab,severity_level,616,2.2239815127659074e-05,-0.0007634601927477332
color_bleeding,gradient_rms_lpips_vgg,severity_ab,616,0.1251700588843149,0.4831536412356273
color_bleeding,gradient_rms_lpips_vgg,severity_level,616,0.26396136913452783,0.6464833604001361
color_bleeding,gradient_rms_convnext_perceptual,severity_ab,616,-0.04167130922492363,0.14736001240329819
color_bleeding,gradient_rms_convnext_perceptual,severity_level,616,0.11579266102573826,0.337384065076581
color_bleeding,gradient_rms_dinov3_perceptual,severity_ab,616,0.1349393556115911,0.4240045403463992
color_bleeding,gradient_rms_dinov3_perceptual,severity_level,616,0.2485736210041088,0.5545496933535661
low_saturation,huber_ab,severity_ab,616,0.9915671579616795,0.9944433121529221
low_saturation,huber_ab,severity_level,616,0.5578638330398459,0.668913574751049
low_saturation,gradient_ab,severity_ab,616,0.6450212950720386,0.7204396188860751
low_saturation,gradient_ab,severity_level,616,0.6472735365172853,0.7385721690821875
low_saturation,lpips_vgg,severity_ab,616,0.8392879533928954,0.8753944952150274
low_saturation,lpips_vgg,severity_level,616,0.7781022919775898,0.872002140945408
low_saturation,convnext_perceptual,severity_ab,616,0.502381712475295,0.5924243878823474
low_saturation,convnext_perceptual,severity_level,616,0.29898504005931903,0.49179081912673095
low_saturation,dinov3_perceptual,severity_ab,616,0.8030131381261113,0.8240285152646304
low_saturation,dinov3_perceptual,severity_level,616,0.7527442079951278,0.8616729741620426
low_saturation,gradient_norm_huber_ab,severity_ab,616,0.8023760881463979,0.924212151843887
low_saturation,gradient_norm_huber_ab,severity_level,616,0.5347852702624666,0.5205900058816161
low_saturation,gradient_norm_gradient_ab,severity_ab,616,-0.11685060938352716,-0.17704347177442872
low_saturation,gradient_norm_gradient_ab,severity_level,616,-0.0009049159659743777,-0.0031844879594583107
low_saturation,gradient_norm_lpips_vgg,severity_ab,616,0.49444862157382174,0.6208300968904994
low_saturation,gradient_norm_lpips_vgg,severity_level,616,0.5327991251038215,0.6577025502502104
low_saturation,gradient_norm_convnext_perceptual,severity_ab,616,0.24912227076525323,0.2928427938429125
low_saturation,gradient_norm_convnext_perceptual,severity_level,616,0.15280200238333966,0.25785356351928534
low_saturation,gradient_norm_dinov3_perceptual,severity_ab,616,0.3975738505580602,0.5537225552642402
low_saturation,gradient_norm_dinov3_perceptual,severity_level,616,0.39703468353923715,0.5672958035107466
low_saturation,gradient_rms_huber_ab,severity_ab,616,0.8023760868062699,0.924212151843887
low_saturation,gradient_rms_huber_ab,severity_level,616,0.5347852697776576,0.5205900058816161
low_saturation,gradient_rms_gradient_ab,severity_ab,616,-0.11685062352025323,-0.17705034654622717
low_saturation,gradient_rms_gradient_ab,severity_level,616,-0.0009049266801822921,-0.0031926532312479593
low_saturation,gradient_rms_lpips_vgg,severity_ab,616,0.4944486195708383,0.6208300968904994
low_saturation,gradient_rms_lpips_vgg,severity_level,616,0.5327991273328064,0.6577025502502104
low_saturation,gradient_rms_convnext_perceptual,severity_ab,616,0.24912227009116097,0.2928427938429125
low_saturation,gradient_rms_convnext_perceptual,severity_level,616,0.15280200202012537,0.25785356351928534
